id;label;trajectory;speed_x;speed_z;speed;acceleration_x;acceleration_z;acceleration;angle;angular_speed;angular_acceleration;curvature;autocorrelation_speed_x;autocorrelation_speed_z;autocorrelation_speed;autocorrelation_acceleration_x;autocorrelation_acceleration_z;autocorrelation_acceleration;autocorrelation_angle;autocorrelation_angular_speed;autocorrelation_angular_acceleration;autocorrelation_curvature
29;36;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [  16.82521057  322.91604614]
 [  16.89095688  322.9616394 ]
 [  16.95670509  323.00720215]]";"[-0.13847351  0.          0.         ...  1.64370537  1.64365768
  1.64370537]";[0.09231567 0.         0.         ... 1.1390686  1.13983154 1.1390686 ];[0.16642445 0.         0.         ... 1.99981115 2.00020662 1.99981115];"[ 0.00000000e+00  3.46183777e+00  0.00000000e+00 ...  0.00000000e+00
 -1.19209290e-03  1.19209290e-03]";"[ 0.         -2.30789185  0.         ... -0.01907349  0.01907349
 -0.01907349]";[0.         4.16061119 0.         ... 0.01907349 0.0191107  0.0191107 ];[0.         0.         0.         ... 0.0003135  0.00032709 0.00032709];[0.         0.         0.         ... 0.00033954 0.00033962 0.        ];"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.48849174e-03
  1.99405957e-06 -8.49048580e-03]";"[ 0.          0.          0.         ... -0.0003135   0.00032709
 -0.00032709]";"[ 1.00000000e+00  9.98868343e-01  9.96649254e-01 ... -3.75313319e-06
 -3.75302431e-06 -3.75313319e-06]";"[1.00000000e+00 9.98824842e-01 9.96574154e-01 ... 1.86081607e-06
 1.86206243e-06 1.86081607e-06]";"[1.00000000e+00 9.99642396e-01 9.99073289e-01 ... 2.84083530e-06
 2.84139709e-06 2.84083530e-06]";"[ 1.00000000e+00  4.90319804e-01  4.50493596e-01 ... -4.90784459e-08
  4.90784459e-08  0.00000000e+00]";"[ 1.00000000e+00  4.62213143e-01  4.23597127e-01 ... -5.35561024e-07
  5.35561024e-07  0.00000000e+00]";"[1.00000000e+00 5.15360079e-01 5.14854002e-01 ... 4.78183250e-07
 4.78183250e-07 0.00000000e+00]";[1.         0.44208236 0.38136977 ... 0.         0.         0.        ];"[ 1.00000000e+00 -4.45590014e-01 -1.09291474e-04 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]";"[ 1.         -0.65408266  0.15979103 ...  0.          0.
  0.        ]";[1.         0.46907264 0.41904359 ... 0.         0.         0.        ]
5;26;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [-118.72348785   -5.45268106]
 [-118.68704224   -5.40556335]
 [-118.65520477   -5.36416912]]";"[-0.13847351  0.          0.         ...  0.91094971  0.91114044
  0.79593658]";[0.09231567 0.         0.         ... 1.17793083 1.17794275 1.03485584];[0.16642445 0.         0.         ... 1.48907703 1.48920315 1.30554267];"[ 0.          3.46183777  0.         ... -2.67028809  0.00476837
 -2.88009644]";"[ 0.00000000e+00 -2.30789185e+00  0.00000000e+00 ... -3.27080488e+00
  2.98023224e-04 -3.57717276e+00]";[0.         4.16061119 0.         ... 4.22239305 0.00477768 4.59250698];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.68759068e-03
 9.64191320e-05 2.74212269e-03]";"[ 0.          0.          0.         ... -0.260401   -0.06477929
  0.06614259]";"[  0.           0.           0.         ... -14.69978494   4.89054281
   3.27304694]";"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.68758745e-03
 -9.64191318e-05  2.74211925e-03]";"[ 1.00000000e+00  9.98861681e-01  9.96178743e-01 ... -4.79651533e-06
 -4.79751962e-06 -4.19092514e-06]";"[1.00000000e+00 9.99079037e-01 9.96849631e-01 ... 2.85641504e-06
 2.85644395e-06 2.50946636e-06]";"[1.00000000e+00 9.99212763e-01 9.97251555e-01 ... 3.85003294e-06
 3.85035903e-06 3.37550185e-06]";"[ 1.00000000e+00  6.84717431e-01  6.09339772e-01 ...  4.45992692e-07
 -2.69379586e-04  0.00000000e+00]";"[ 1.00000000e+00  7.19451260e-01  6.54615679e-01 ... -1.59395790e-08
  1.91322767e-04  0.00000000e+00]";"[1.00000000e+00 7.35271995e-01 6.97123000e-01 ... 2.47969345e-07
 2.38358778e-04 0.00000000e+00]";[1.         0.44646123 0.37465795 ... 0.         0.         0.        ];"[ 1.         -0.43514132 -0.03740319 ...  0.          0.
  0.        ]";"[ 1.         -0.63857083  0.12420315 ...  0.          0.
  0.        ]";[1.         0.44712673 0.3151066  ... 0.         0.         0.        ]
35;34;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ -40.16038513  217.63697815]
 [ -40.19529343  217.56500244]
 [ -40.23019791  217.49301147]]";"[-0.13847351  0.          0.         ... -0.872612   -0.87270737
 -0.872612  ]";"[ 0.09231567  0.          0.         ... -1.79977417 -1.7993927
 -1.79977417]";[0.16642445 0.         0.         ... 2.00015968 1.99985805 2.00015968];"[ 0.00000000e+00  3.46183777e+00  0.00000000e+00 ...  0.00000000e+00
 -2.38418579e-03  2.38418579e-03]";"[ 0.         -2.30789185  0.         ... -0.00953674  0.00953674
 -0.00953674]";[0.         4.16061119 0.         ... 0.00953674 0.00983025 0.00983025];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.32197595e-05
 1.26127608e-04 1.26127608e-04]";[0.         0.         0.         ... 0.00107256 0.0010727  0.        ];"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.68138861e-02
  3.51911699e-06 -2.68174052e-02]";"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.32197593e-05
 -1.26127607e-04  1.26127607e-04]";"[1.00000000e+00 9.99212719e-01 9.97737081e-01 ... 2.85610940e-06
 2.85642154e-06 2.85610940e-06]";"[ 1.00000000e+00  9.99298941e-01  9.97971087e-01 ... -3.16773001e-06
 -3.16705860e-06 -3.16773001e-06]";"[1.00000000e+00 9.99594781e-01 9.98821803e-01 ... 3.51293597e-06
 3.51240621e-06 3.51293597e-06]";"[ 1.00000000e+00  4.42647669e-01  4.89334327e-01 ... -2.00591897e-07
  2.00591897e-07  0.00000000e+00]";"[ 1.00000000e+00  4.67820242e-01  5.17471422e-01 ... -5.00981269e-07
  5.00981269e-07  0.00000000e+00]";"[1.00000000e+00 5.10752027e-01 5.89014417e-01 ... 4.80722955e-07
 4.80722955e-07 0.00000000e+00]";[1.         0.40160011 0.41304989 ... 0.         0.         0.        ];"[ 1.         -0.50956699  0.07032922 ...  0.          0.
  0.        ]";"[ 1.         -0.69207369  0.22675467 ...  0.          0.
  0.        ]";[1.         0.35799439 0.33636468 ... 0.         0.         0.        ]
19;49;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 120.58506775  283.17492676]
 [ 120.59290314  283.25454712]
 [ 120.60073853  283.33416748]]";"[-0.13847351  0.          0.         ...  0.1958847   0.1958847
  0.1958847 ]";[0.09231567 0.         0.         ... 1.99050903 1.99050903 1.99050903];[0.16642445 0.         0.         ... 2.00012425 2.00012425 2.00012425];[0.         3.46183777 0.         ... 0.         0.         0.        ];"[ 0.         -2.30789185  0.         ...  0.          0.
  0.        ]";[0.         4.16061119 0.         ... 0.         0.         0.        ];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0.         0.         0.         ... 0.02335724 0.         0.        ];[0. 0. 0. ... 0. 0. 0.];"[ 1.00000000e+00  9.98452862e-01  9.95611830e-01 ... -6.90065921e-07
 -6.90065921e-07 -6.90065921e-07]";"[1.00000000e+00 9.98780112e-01 9.96449449e-01 ... 3.52216766e-06
 3.52216766e-06 3.52216766e-06]";"[1.00000000e+00 9.99349131e-01 9.98108562e-01 ... 3.63876749e-06
 3.63876749e-06 3.63876749e-06]";[1.         0.4185124  0.33989251 ... 0.         0.         0.        ];[1.         0.4700056  0.42304481 ... 0.         0.         0.        ];[1.         0.50683041 0.47340147 ... 0.         0.         0.        ];[1.         0.28200782 0.24592556 ... 0.         0.         0.        ];[ 1.        -0.4748728 -0.036966  ...  0.         0.         0.       ];"[ 1.         -0.64845579  0.11742636 ...  0.          0.
  0.        ]";[1.         0.35426795 0.28671046 ... 0.         0.         0.        ]
20;19;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [-123.61332703   43.68318939]
 [-123.53013611   43.65272522]
 [-123.44773865   43.63076401]]";"[-0.13847351  0.          0.         ...  2.07958221  2.07977295
  2.05993652]";"[ 0.09231567  0.          0.         ... -0.76160431 -0.76160431
 -0.5490303 ]";[0.16642445 0.         0.         ... 2.21465648 2.21483558 2.13184726];"[ 0.          3.46183777  0.         ... -0.50067902  0.00476837
 -0.49591064]";"[ 0.         -2.30789185  0.         ...  5.30958176  0.
  5.31435013]";"[0.00000000e+00 4.16061119e+00 0.00000000e+00 ... 5.33313584e+00
 4.76837158e-03 5.33743802e+00]";"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.32851790e-02
 2.96149960e-05 9.05570286e-02]";"[ 0.          0.          0.         ...  2.08212948 -2.0813891
  2.26318534]";"[   0.            0.            0.         ...  100.6550677  -104.08796443
  108.61436102]";"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.31889289e-02
 2.96149915e-05 9.04333094e-02]";"[ 1.00000000e+00  9.97406362e-01  9.92116487e-01 ... -9.71200924e-06
 -9.71290001e-06 -9.62026046e-06]";"[ 1.00000000e+00  9.97672190e-01  9.93085751e-01 ... -2.26583805e-06
 -2.26583805e-06 -1.63341218e-06]";"[1.00000000e+00 9.98468474e-01 9.95480233e-01 ... 6.07402378e-06
 6.07451499e-06 5.84690723e-06]";"[ 1.00000000e+00  5.34449467e-01  5.50604389e-01 ...  1.76615769e-07
 -1.83680400e-05  0.00000000e+00]";"[ 1.00000000e+00  4.85432851e-01  5.06222450e-01 ...  0.00000000e+00
 -1.36133465e-04  0.00000000e+00]";"[1.00000000e+00 5.50799166e-01 6.04605741e-01 ... 1.08081166e-07
 1.20979775e-04 0.00000000e+00]";[1.         0.30472619 0.24170198 ... 0.         0.         0.        ];"[ 1.00000000e+00 -4.54654037e-01  8.79206897e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]";"[ 1.         -0.65628783  0.17549258 ...  0.          0.
  0.        ]";[1.         0.46258466 0.39513523 ... 0.         0.         0.        ]
38;35;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 265.13000488  287.78048706]
 [ 265.13000488  287.78048706]
 [ 265.13000488  287.78048706]]";"[-0.13847351  0.          0.         ...  0.          0.
  0.        ]";[0.09231567 0.         0.         ... 0.         0.         0.        ];[0.16642445 0.         0.         ... 0.         0.         0.        ];[0.         3.46183777 0.         ... 0.         0.         0.        ];"[ 0.         -2.30789185  0.         ...  0.          0.
  0.        ]";[0.         4.16061119 0.         ... 0.         0.         0.        ];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[1.         0.99905459 0.99713512 ... 0.         0.         0.        ];[1.         0.99893093 0.99673828 ... 0.         0.         0.        ];[1.         0.99928879 0.99779048 ... 0.         0.         0.        ];[1.         0.51571502 0.53104711 ... 0.         0.         0.        ];[1.         0.5257259  0.58830888 ... 0.         0.         0.        ];[1.         0.55840807 0.62600547 ... 0.         0.         0.        ];[1.         0.33607355 0.33329488 ... 0.         0.         0.        ];"[ 1.         -0.49790739  0.04183114 ...  0.          0.
  0.        ]";"[ 1.         -0.68016419  0.19894818 ...  0.          0.
  0.        ]";[1.         0.32982898 0.30711856 ... 0.         0.         0.        ]
4;24;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 150.46310425  201.09817505]
 [ 150.50987244  201.03326416]
 [ 150.56030273  200.97116089]]";"[-0.13847351  0.          0.         ...  0.75340271  1.16920471
  1.26075745]";"[ 0.09231567  0.          0.         ... -1.85241699 -1.62277222
 -1.55258179]";[0.16642445 0.         0.         ... 1.99976608 2.00010733 2.00000489];"[ 0.          3.46183777  0.         ...  0.         10.39505005
  2.28881836]";"[ 0.         -2.30789185  0.         ...  0.00953674  5.74111938
  1.75476074]";"[0.00000000e+00 4.16061119e+00 0.00000000e+00 ... 9.53674316e-03
 1.18750797e+01 2.88407260e+00]";"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.18541935e-05
 2.38070873e-01 5.76878098e-02]";"[ 0.          0.          0.         ... -4.90460832  5.94997548
 -4.50957659]";"[   0.            0.            0.         ... -245.2528143   271.36459502
 -261.4888018 ]";"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 7.18541950e-05
 2.35828351e-01 5.76558188e-02]";"[ 1.00000000e+00  9.97842622e-01  9.93442155e-01 ... -1.47301613e-06
 -2.28597187e-06 -2.46497130e-06]";"[ 1.00000000e+00  9.97968071e-01  9.93812746e-01 ... -2.36160252e-06
 -2.06883384e-06 -1.97934972e-06]";"[1.00000000e+00 9.99630659e-01 9.98916055e-01 ... 2.32350064e-06
 2.32389714e-06 2.32377811e-06]";"[1.00000000e+00 5.23058562e-01 4.83172304e-01 ... 1.89410001e-04
 4.17049544e-05 0.00000000e+00]";"[ 1.00000000e+00  5.26493701e-01  4.60631013e-01 ... -7.26391665e-05
 -2.22020044e-05  0.00000000e+00]";"[1.00000000e+00 5.66016597e-01 5.49769738e-01 ... 1.32674613e-04
 3.22223704e-05 0.00000000e+00]";[1.         0.41565713 0.36632279 ... 0.         0.         0.        ];"[ 1.         -0.45785213  0.02077195 ...  0.          0.
  0.        ]";[ 1.        -0.6640522  0.1752021 ...  0.         0.         0.       ];[1.         0.51101004 0.45914953 ... 0.         0.         0.        ]
36;20;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [-126.01106262   -2.36747622]
 [-125.96227264   -2.43087626]
 [-125.91779327   -2.48867416]]";"[-0.13847351  0.         -0.08945465 ...  1.21974945  1.21974945
  1.11198425]";"[ 0.09231567  0.          0.23002625 ... -1.58500075 -1.58500075
 -1.44494772]";[0.16642445 0.         0.24680804 ... 2.00000403 2.00000403 1.82328903];"[ 0.          3.46183777 -2.23636627 ...  0.          0.
 -2.69412994]";"[ 0.         -2.30789185  5.75065613 ...  0.          0.
  3.50132585]";[0.         4.16061119 6.17020097 ... 0.         0.         4.41787492];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 5.94841962e-06]";[0.         0.         0.         ... 0.         0.         0.00014871];[0.         0.         0.         ... 0.         0.         0.00371776];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 5.94842743e-06]";"[ 1.00000000e+00  9.99007024e-01  9.96891497e-01 ... -8.71661141e-06
 -5.48583469e-06 -5.00115970e-06]";"[ 1.00000000e+00  9.99139971e-01  9.97224998e-01 ... -1.50032871e-05
 -4.58597050e-06 -4.18074730e-06]";"[1.00000000e+00 9.99171738e-01 9.97336419e-01 ... 1.24866675e-05
 5.30902660e-06 4.83993524e-06]";"[ 1.00000000e+00  5.75416345e-01  6.22112605e-01 ...  1.60964326e-04
 -2.49168658e-04  0.00000000e+00]";"[ 1.00000000e+00  6.34004851e-01  6.14224456e-01 ...  6.10334577e-04
 -2.44943561e-04  0.00000000e+00]";"[1.00000000e+00 6.30066168e-01 6.60610916e-01 ... 3.87088697e-04
 2.61016712e-04 0.00000000e+00]";[1.         0.12986968 0.08263729 ... 0.         0.         0.        ];"[ 1.         -0.47285901 -0.00443104 ...  0.          0.
  0.        ]";"[ 1.         -0.65901996  0.16534476 ...  0.          0.
  0.        ]";[1.         0.25466405 0.21020355 ... 0.         0.         0.        ]
24;21;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [-139.6091156    49.43921661]
 [-139.60295105   49.51897812]
 [-139.5967865    49.59873962]]";"[-0.13847351  0.          0.         ...  0.15411377  0.15411377
  0.15411377]";[0.09231567 0.         0.         ... 1.99403763 1.99403763 1.99403763];[0.16642445 0.         0.         ... 1.99998428 1.99998428 1.99998428];[0.         3.46183777 0.         ... 0.12397766 0.         0.        ];"[ 0.         -2.30789185  0.         ... -0.01192093  0.
  0.        ]";[0.         4.16061119 0.         ... 0.12454946 0.         0.        ];[0.         0.         0.         ... 0.00249045 0.         0.        ];"[ 0.          0.          0.         ...  0.05759498 -0.06226127
  0.        ]";"[ 0.          0.          0.         ...  1.32321742 -2.99640638
  1.55653178]";"[ 0.          0.          0.         ... -0.00249045  0.
  0.        ]";"[ 1.00000000e+00  9.99069630e-01  9.97515019e-01 ... -4.64015995e-07
 -4.64015995e-07 -4.64015995e-07]";"[1.00000000e+00 9.98946427e-01 9.97163545e-01 ... 4.77181820e-06
 4.77181820e-06 4.77181820e-06]";"[1.00000000e+00 9.99486959e-01 9.98594726e-01 ... 3.93584503e-06
 3.93584503e-06 3.93584503e-06]";[1.         0.3358718  0.43391024 ... 0.         0.         0.        ];[1.         0.36406312 0.46725483 ... 0.         0.         0.        ];[1.         0.47888602 0.51961596 ... 0.         0.         0.        ];[1.         0.49129331 0.40654614 ... 0.         0.         0.        ];"[ 1.         -0.41670332 -0.14891423 ...  0.          0.
  0.        ]";"[ 1.         -0.59451135 -0.03932515 ...  0.          0.
  0.        ]";[1.         0.23839697 0.35238858 ... 0.         0.         0.        ]
14;26;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 151.06455994  148.04408264]
 [ 150.98545837  148.05607605]
 [ 150.90689087  148.07116699]]";"[-0.13847351  0.          0.         ... -1.98974609 -1.97753906
 -1.96418762]";[0.09231567 0.         0.         ... 0.20103455 0.29983521 0.37727356];[0.16642445 0.         0.         ... 1.9998761  2.00014047 2.00009209];[0.         3.46183777 0.         ... 0.24795532 0.30517578 0.33378601];"[ 0.         -2.30789185  0.         ...  3.91960144  2.47001648
  1.93595886]";[0.         4.16061119 0.         ... 3.92743648 2.48879763 1.9645228 ];[0.         0.         0.         ... 0.07856823 0.04978071 0.03929069];"[ 0.          0.          0.         ...  0.52387063 -0.71968786
 -0.26225049]";"[  0.           0.           0.         ...  29.34786666 -31.08896216
  11.43593434]";"[ 0.          0.          0.         ... -0.07848742 -0.04976015
 -0.03928058]";"[1.00000000e+00 9.98644697e-01 9.96074768e-01 ... 4.15779432e-06
 4.13228638e-06 4.10438707e-06]";"[1.00000000e+00 9.98601366e-01 9.95902259e-01 ... 2.74002977e-07
 4.08664782e-07 5.14210521e-07]";"[1.00000000e+00 9.99622390e-01 9.98966009e-01 ... 2.48380897e-06
 2.48413732e-06 2.48407723e-06]";"[1.00000000e+00 4.57947024e-01 4.16863963e-01 ... 9.61802619e-06
 1.05197161e-05 0.00000000e+00]";"[ 1.00000000e+00  4.65477434e-01  4.20771440e-01 ... -4.81788183e-05
 -3.77617765e-05  0.00000000e+00]";"[1.00000000e+00 5.27305386e-01 5.15740789e-01 ... 4.53838918e-05
 3.58235996e-05 0.00000000e+00]";[1.         0.31993983 0.30305701 ... 0.         0.         0.        ];"[ 1.         -0.48759425  0.00254232 ...  0.          0.
  0.        ]";"[ 1.         -0.66474188  0.15757538 ...  0.          0.
  0.        ]";[1.         0.44266685 0.39224439 ... 0.         0.         0.        ]
