id;label;trajectory;speed_x;speed_z;speed;acceleration_x;acceleration_z;acceleration;angle;angular_speed;angular_acceleration;curvature;autocorrelation_speed_x;autocorrelation_speed_z;autocorrelation_speed;autocorrelation_acceleration_x;autocorrelation_acceleration_z;autocorrelation_acceleration;autocorrelation_angle;autocorrelation_angular_speed;autocorrelation_angular_acceleration;autocorrelation_curvature
29;36;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 116.78774261  118.65378571]
 [ 116.7844162   118.66088104]
 [ 116.78108215  118.66798401]]";"[-0.13847351  0.          0.         ... -0.16555786 -0.0831604
 -0.08335114]";[0.09231567 0.         0.         ... 0.3528595  0.17738342 0.17757416];[0.16642445 0.         0.         ... 0.38976817 0.1959095  0.19616318];"[ 0.          3.46183777  0.         ...  2.19345093  2.05993652
 -0.00476837]";"[ 0.         -2.30789185  0.         ... -4.67300415 -4.38690186
  0.00476837]";[0.         4.16061119 0.         ... 5.16218895 4.84646741 0.0067435 ];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.63538670e-05
 3.04914643e-04 4.67642687e-04]";"[ 0.          0.          0.         ... -0.00583185  0.00621402
  0.0040682 ]";"[ 0.          0.          0.         ... -0.29652968  0.30114679
 -0.05364546]";"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.63538671e-05
 -3.04914638e-04  4.67642670e-04]";"[1.00000000e+00 9.98951200e-01 9.97051792e-01 ... 4.48003536e-07
 2.25034034e-07 2.25550167e-07]";"[1.00000000e+00 9.98933766e-01 9.97073234e-01 ... 5.37686329e-07
 2.70296371e-07 2.70587012e-07]";"[1.00000000e+00 9.99671267e-01 9.99172078e-01 ... 5.80439119e-07
 2.91746589e-07 2.92124372e-07]";"[ 1.00000000e+00  4.05792187e-01  4.14763345e-01 ...  1.06323305e-04
 -2.46118761e-07  0.00000000e+00]";"[ 1.00000000e+00  3.72659719e-01  4.20553973e-01 ...  1.25428760e-04
 -1.36335609e-07  0.00000000e+00]";"[1.00000000e+00 4.48306100e-01 5.06836394e-01 ... 1.36438944e-04
 1.89844553e-07 0.00000000e+00]";[1.         0.20254473 0.25111758 ... 0.         0.         0.        ];"[ 1.         -0.53045491  0.07018    ...  0.          0.
  0.        ]";"[ 1.         -0.69622757  0.22715488 ...  0.          0.
  0.        ]";[1.         0.35493791 0.3837937  ... 0.         0.         0.        ]
5;26;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [-138.28117371   -3.36418319]
 [-138.33303833   -3.42508817]
 [-138.38491821   -3.48599315]]";"[-0.13847351  0.          0.         ... -1.29699707 -1.2966156
 -1.29699707]";"[ 0.09231567  0.          0.         ... -1.52262449 -1.52262449
 -1.52262449]";[0.16642445 0.         0.         ... 2.00014668 1.99989934 2.00014668];"[ 0.          3.46183777  0.         ... -0.00953674  0.00953674
 -0.00953674]";"[ 0.         -2.30789185  0.         ...  0.          0.
  0.        ]";[0.         4.16061119 0.         ... 0.00953674 0.00953674 0.00953674];[0.         0.         0.         ... 0.00014521 0.00014521 0.00014521];"[ 0.          0.          0.         ... -0.06011094  0.
  0.        ]";"[ 0.          0.          0.         ... -1.41180254  1.50277359
  0.        ]";"[ 0.          0.          0.         ... -0.00014521  0.00014521
 -0.00014521]";"[1.00000000e+00 9.98833951e-01 9.96533796e-01 ... 6.92741944e-06
 6.92538197e-06 6.92741944e-06]";"[ 1.00000000e+00  9.98715590e-01  9.96228607e-01 ... -5.30440654e-06
 -5.30440654e-06 -5.30440654e-06]";"[1.00000000e+00 9.98928227e-01 9.96805165e-01 ... 6.34950955e-06
 6.34872435e-06 6.34950955e-06]";"[ 1.00000000e+00  5.00717803e-01  5.64628883e-01 ...  8.98963048e-07
 -8.98963048e-07  0.00000000e+00]";[1.         0.48484084 0.55269196 ... 0.         0.         0.        ];"[1.00000000e+00 5.14721408e-01 5.92417162e-01 ... 5.09906395e-07
 5.09906395e-07 0.00000000e+00]";[1.         0.12044816 0.09534836 ... 0.         0.         0.        ];"[ 1.         -0.48573149 -0.00937776 ...  0.          0.
  0.        ]";"[ 1.         -0.66030949  0.15578672 ...  0.          0.
  0.        ]";[1.         0.36144339 0.26962417 ... 0.         0.         0.        ]
35;34;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ -25.45272255  249.95066833]
 [ -25.45272255  249.95066833]
 [ -25.45272255  249.95066833]]";"[-0.13847351  0.          0.         ...  0.          0.
  0.        ]";[0.09231567 0.         0.         ... 0.         0.         0.        ];[0.16642445 0.         0.         ... 0.         0.         0.        ];[0.         3.46183777 0.         ... 0.         0.         0.        ];"[ 0.         -2.30789185  0.         ...  0.          0.
  0.        ]";[0.         4.16061119 0.         ... 0.         0.         0.        ];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[1.         0.99900965 0.99725092 ... 0.         0.         0.        ];[1.         0.99900343 0.9971376  ... 0.         0.         0.        ];[1.         0.99938102 0.99818911 ... 0.         0.         0.        ];[1.         0.38824736 0.45674883 ... 0.         0.         0.        ];[1.         0.4362855  0.53928535 ... 0.         0.         0.        ];[1.         0.50375638 0.58085701 ... 0.         0.         0.        ];[1.         0.42830585 0.40842778 ... 0.         0.         0.        ];"[ 1.         -0.48261477  0.05603508 ...  0.          0.
  0.        ]";"[ 1.         -0.68165536  0.22571618 ...  0.          0.
  0.        ]";[1.         0.26576594 0.29844218 ... 0.         0.         0.        ]
19;49;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 315.19039917   82.53419495]
 [ 315.22180176   82.6428833 ]
 [ 315.25350952   82.75149536]]";"[-0.13847351  0.          0.         ...  0.70648193  0.7850647
  0.79269409]";[0.09231567 0.         0.         ... 2.73857117 2.71720886 2.71530151];[0.16642445 0.         0.         ... 2.82823068 2.82834768 2.82864389];"[ 0.          3.46183777  0.         ... -0.01907349  1.96456909
  0.19073486]";"[ 0.         -2.30789185  0.         ... -0.00476837 -0.53405762
 -0.04768372]";[0.         4.16061119 0.         ... 0.0196605  2.03586573 0.196605  ];[0.         0.         0.         ... 0.00024433 0.02879386 0.00277838];"[ 0.          0.          0.         ... -1.70021333  0.71373826
 -0.65038709]";"[  0.           0.           0.         ... -54.09000699  60.34878968
 -34.10313359]";"[ 0.          0.          0.         ...  0.00024433 -0.02878988
 -0.00277837]";"[ 1.00000000e+00  9.98242722e-01  9.95754168e-01 ... -1.95825929e-06
 -2.17607863e-06 -2.19722614e-06]";"[1.00000000e+00 9.97232750e-01 9.96088162e-01 ... 4.42030963e-06
 4.38582887e-06 4.38275023e-06]";"[1.00000000e+00 9.99042535e-01 9.98531143e-01 ... 4.39275645e-06
 4.39293817e-06 4.39339824e-06]";"[1.00000000e+00 2.08985272e-01 1.89793844e-01 ... 6.22057773e-05
 6.03939585e-06 0.00000000e+00]";"[ 1.00000000e+00 -3.00179740e-01  3.74927169e-01 ...  6.37889786e-06
  5.69544451e-07  0.00000000e+00]";"[1.00000000e+00 6.12751553e-01 5.56130783e-01 ... 2.79965134e-05
 2.70364316e-06 0.00000000e+00]";[1.         0.51805231 0.43156533 ... 0.         0.         0.        ];"[ 1.         -0.41027379 -0.10038406 ...  0.          0.
  0.        ]";"[ 1.         -0.60986715  0.07377308 ...  0.          0.
  0.        ]";"[ 1.         -0.18563765  0.33407263 ...  0.          0.
  0.        ]"
20;19;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [  -1.33269739  263.47821045]
 [  -1.33269739  263.47821045]
 [  -1.33269739  263.47821045]]";"[-0.13847351  0.          0.         ...  0.          0.
  0.        ]";[0.09231567 0.         0.         ... 0.         0.         0.        ];[0.16642445 0.         0.         ... 0.         0.         0.        ];[0.         3.46183777 0.         ... 0.         0.         0.        ];"[ 0.         -2.30789185  0.         ...  0.          0.
  0.        ]";[0.         4.16061119 0.         ... 0.         0.         0.        ];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[0. 0. 0. ... 0. 0. 0.];[1.         0.99742614 0.99221006 ... 0.         0.         0.        ];[1.         0.99722434 0.9916303  ... 0.         0.         0.        ];[1.         0.99820978 0.99457882 ... 0.         0.         0.        ];[1.         0.51353123 0.55674461 ... 0.         0.         0.        ];[1.         0.50780605 0.55149138 ... 0.         0.         0.        ];[1.         0.57504098 0.64916911 ... 0.         0.         0.        ];[1.         0.24014183 0.22385642 ... 0.         0.         0.        ];"[ 1.         -0.48928392  0.02235812 ...  0.          0.
  0.        ]";"[ 1.         -0.67177451  0.18225346 ...  0.          0.
  0.        ]";[1.         0.37899693 0.33280721 ... 0.         0.         0.        ]
38;35;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 124.725914    293.60131836]
 [ 124.7975235   293.63699341]
 [ 124.86912537  293.67266846]]";"[-0.13847351  0.          0.         ...  1.79023743  1.79023743
  1.79004669]";[0.09231567 0.         0.         ... 0.89187622 0.89187622 0.89187622];[0.16642445 0.         0.         ... 2.00009831 2.00009831 1.99992759];"[ 0.          3.46183777  0.         ...  0.00476837  0.
 -0.00476837]";"[ 0.         -2.30789185  0.         ...  0.          0.
  0.        ]";[0.         4.16061119 0.         ... 0.00476837 0.         0.00476837];"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.2527418e-05 0.0000000e+00
 4.2527418e-05]";"[ 0.          0.          0.         ...  0.         -0.00106319
  0.00106319]";"[ 0.          0.          0.         ...  0.18684861 -0.02657964
  0.05315927]";"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.25274217e-05
  0.00000000e+00  4.25274217e-05]";"[ 1.00000000e+00  9.99016756e-01  9.97001888e-01 ... -7.64540669e-06
 -7.64540669e-06 -7.64459213e-06]";"[1.00000000e+00 9.99167575e-01 9.97457168e-01 ... 2.45741422e-06
 2.45741422e-06 2.45741422e-06]";"[1.00000000e+00 9.99416871e-01 9.98204049e-01 ... 5.04883329e-06
 5.04883329e-06 5.04840235e-06]";"[ 1.00000000e+00  5.52846302e-01  5.48647434e-01 ...  0.00000000e+00
 -4.36273063e-07  0.00000000e+00]";[1.         0.53523216 0.54963898 ... 0.         0.         0.        ];"[1.00000000e+00 5.77402079e-01 6.13705961e-01 ... 0.00000000e+00
 2.74794473e-07 0.00000000e+00]";[1.         0.47491374 0.41187689 ... 0.         0.         0.        ];"[ 1.00000000e+00 -4.39974769e-01 -6.47853361e-04 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]";"[ 1.         -0.65254674  0.15798164 ...  0.          0.
  0.        ]";[1.         0.44842353 0.34814873 ... 0.         0.         0.        ]
4;24;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [ 391.69168091  207.51055908]
 [ 391.63653564  207.60934448]
 [ 391.58163452  207.70826721]]";"[-0.13847351  0.          0.         ... -1.37939453 -1.37863159
 -1.37252808]";[0.09231567 0.         0.         ... 2.46963501 2.46963501 2.47306824];[0.16642445 0.         0.         ... 2.82874996 2.82837801 2.82840942];[0.         3.46183777 0.         ... 0.80108643 0.01907349 0.15258789];"[ 0.         -2.30789185  0.         ...  0.46730042  0.
  0.08583069]";[0.         4.16061119 0.         ... 0.92742069 0.01907349 0.17507133];[0.         0.         0.         ... 0.01311438 0.0002355  0.00247589];"[ 0.          0.          0.         ... -0.77677816 -0.3219721
  0.05600969]";"[ 0.          0.          0.         ... 12.10578309 11.37015156
  9.44954468]";"[ 0.          0.          0.         ... -0.01311401 -0.0002355
 -0.00247588]";"[1.00000000e+00 9.97653076e-01 9.92663598e-01 ... 3.05124651e-06
 3.04955887e-06 3.03605778e-06]";"[1.00000000e+00 9.98127710e-01 9.94109283e-01 ... 3.46896210e-06
 3.46896210e-06 3.47378457e-06]";"[1.00000000e+00 9.99696148e-01 9.99114977e-01 ... 3.66868059e-06
 3.66819819e-06 3.66823893e-06]";"[1.00000000e+00 5.66689244e-01 5.08766620e-01 ... 3.61885873e-07
 2.89508698e-06 0.00000000e+00]";"[ 1.00000000e+00  5.87829620e-01  5.15301891e-01 ...  0.00000000e+00
 -1.32072089e-06  0.00000000e+00]";"[1.00000000e+00 6.14877266e-01 5.92059721e-01 ... 2.38709200e-07
 2.19105920e-06 0.00000000e+00]";[1.         0.45429722 0.49376154 ... 0.         0.         0.        ];"[ 1.         -0.53615915  0.17396208 ...  0.          0.
  0.        ]";"[ 1.         -0.73113524  0.31063998 ...  0.          0.
  0.        ]";[1.         0.56754351 0.5145056  ... 0.         0.         0.        ]
36;20;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [  66.94496918  273.10061646]
 [  66.99191284  273.03582764]
 [  67.03885651  272.97103882]]";"[-0.13847351  0.          0.         ...  1.17359161  1.17359161
  1.17359161]";"[ 0.09231567  0.          0.         ... -1.61895752 -1.61972046
 -1.61972046]";[0.16642445 0.         0.         ... 1.99958514 2.0002029  2.0002029 ];[0.         3.46183777 0.         ... 0.         0.         0.        ];"[ 0.         -2.30789185  0.         ...  0.01907349 -0.01907349
  0.        ]";[0.         4.16061119 0.         ... 0.01907349 0.01907349 0.        ];[0.         0.         0.         ... 0.00022387 0.00022387 0.        ];"[ 0.          0.          0.         ...  0.00559671  0.
 -0.00559671]";"[ 0.          0.          0.         ...  0.27983571 -0.13991786
 -0.13991786]";"[ 0.          0.          0.         ...  0.00022387 -0.00022387
  0.        ]";"[ 1.00000000e+00  9.99144134e-01  9.97280066e-01 ... -4.32677758e-06
 -4.32677758e-06 -4.32677758e-06]";"[ 1.00000000e+00  9.99206870e-01  9.97485665e-01 ... -3.58298534e-06
 -3.58467383e-06 -3.58467383e-06]";"[1.00000000e+00 9.99398232e-01 9.98065897e-01 ... 4.19795437e-06
 4.19925131e-06 4.19925131e-06]";[1.         0.60237807 0.63713693 ... 0.         0.         0.        ];"[1.00000000e+00 6.09442371e-01 6.12921109e-01 ... 1.10854632e-06
 0.00000000e+00 0.00000000e+00]";"[1.00000000e+00 6.38323504e-01 6.87167225e-01 ... 1.00428529e-06
 0.00000000e+00 0.00000000e+00]";[1.         0.46855983 0.41166989 ... 0.         0.         0.        ];"[ 1.         -0.44647569  0.01330442 ...  0.          0.
  0.        ]";"[ 1.         -0.65893116  0.17893531 ...  0.          0.
  0.        ]";[1.         0.43396584 0.34636882 ... 0.         0.         0.        ]
24;21;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [  12.54362583  316.22409058]
 [  12.46713352  316.20065308]
 [  12.39016724  316.17883301]]";"[-0.13847351  0.          0.         ... -1.90124512 -1.91230774
 -1.92415714]";"[ 0.09231567  0.          0.         ... -0.62103271 -0.5859375
 -0.54550171]";[0.16642445 0.         0.         ... 2.00010365 2.00006091 1.99998821];"[ 0.          3.46183777  0.         ... -0.33557415 -0.27656555
 -0.29623508]";"[ 0.         -2.30789185  0.         ...  0.9727478   0.87738037
  1.01089478]";[0.         4.16061119 0.         ... 1.02900355 0.9199374  1.05340565];[0.         0.         0.         ... 0.02058028 0.01839824 0.02106821];"[ 0.          0.          0.         ...  0.11076095 -0.05455113
  0.06674936]";"[ 0.          0.          0.         ... -7.10342759 -4.13280219
  3.03251241]";"[ 0.          0.          0.         ... -0.02057883 -0.0183972
 -0.02106665]";"[1.00000000e+00 9.99145475e-01 9.97252210e-01 ... 6.48982596e-06
 6.52758779e-06 6.56803526e-06]";"[ 1.00000000e+00  9.99113007e-01  9.97102889e-01 ... -1.64429706e-06
 -1.55137609e-06 -1.44431498e-06]";"[1.00000000e+00 9.99464627e-01 9.98196251e-01 ... 4.41270992e-06
 4.41261562e-06 4.41245522e-06]";"[ 1.00000000e+00  6.42902247e-01  6.44456248e-01 ... -2.33485091e-05
 -2.50090711e-05  0.00000000e+00]";"[ 1.00000000e+00  6.36036904e-01  6.18894571e-01 ... -5.26402671e-05
 -6.06507426e-05  0.00000000e+00]";"[1.00000000e+00 6.68970420e-01 6.83595293e-01 ... 4.81612978e-05
 5.51487344e-05 0.00000000e+00]";[1.         0.56644774 0.58676556 ... 0.         0.         0.        ];"[ 1.         -0.52344365  0.11003091 ...  0.          0.
  0.        ]";"[ 1.         -0.70790858  0.261151   ...  0.          0.
  0.        ]";[1.         0.50213903 0.53890226 ... 0.         0.         0.        ]
14;26;"[[-121.65299988  195.31199646]
 [-121.65853882  195.31568909]
 [-121.65853882  195.31568909]
 ...
 [  17.74458885  309.83242798]
 [  17.73872185  309.83850098]
 [  17.72995949  309.8475647 ]]";"[-0.13847351  0.          0.         ... -0.07395744 -0.14667511
 -0.21905899]";[0.09231567 0.         0.         ... 0.07629395 0.15182495 0.22659302];[0.16642445 0.         0.         ... 0.10625662 0.21110283 0.31516858];"[ 0.          3.46183777  0.         ... -1.84893608 -1.81794167
 -1.80959702]";"[ 0.         -2.30789185  0.         ...  1.90734863  1.88827515
  1.86920166]";[0.         4.16061119 0.         ... 2.65641552 2.6211629  2.6016449 ];[0.         0.         0.         ... 0.         0.00170132 0.00034667];"[ 0.          0.          0.         ...  0.          0.04253298
 -0.03386631]";"[ 0.          0.          0.         ...  0.          1.06332452
 -1.90998219]";"[ 0.          0.          0.         ...  0.         -0.00170132
  0.00034667]";"[1.00000000e+00 9.98413659e-01 9.95793362e-01 ... 1.49899189e-07
 2.97285561e-07 4.43995406e-07]";"[1.00000000e+00 9.98197483e-01 9.95537491e-01 ... 1.00117149e-07
 1.99233126e-07 2.97347932e-07]";"[1.00000000e+00 9.99539706e-01 9.98780324e-01 ... 1.27524455e-07
 2.53356193e-07 3.78251271e-07]";"[ 1.00000000e+00  3.26155943e-01  3.98689837e-01 ... -4.64692192e-05
 -4.62559179e-05  0.00000000e+00]";"[ 1.00000000e+00  2.38011901e-01  3.60924301e-01 ... -2.75002690e-05
 -2.72224885e-05  0.00000000e+00]";"[1.00000000e+00 3.24562492e-01 4.50036957e-01 ... 3.71065324e-05
 3.68302257e-05 0.00000000e+00]";[1.         0.20580689 0.31997901 ... 0.         0.         0.        ];"[ 1.         -0.57187932  0.12858385 ...  0.          0.
  0.        ]";"[ 1.         -0.72281073  0.28386555 ...  0.          0.
  0.        ]";[1.         0.25829288 0.35809983 ... 0.         0.         0.        ]
